"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5033-Gb-001","""Kohlen - Holz - Heizoel - Dieseloel - Benzin; Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-002","""LVZ bringt Vorteile!""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-003","Trompete hängend an einem Ballon, Aufschrift: ""Hans Gmür und Fred Böhler präsentieren - Musik liegt in der Luft - Vorverkauf und Spielplan im Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-004","Frau beim Befeuern eines Ofens: Aufschrift auf Pack: ""Kohlen-Päckchen ofenfertig""; Titel ""Lebensmittelverein Zürich Abt. Brenn- und Treibstoffe""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-005","Brennofen mit offener Tür, Überschrift: ""Holz Kohlen Heizoel""; unten: ""LVZ Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-006","Jetzt Sommerpreise für Koks Briketts Heizoel","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-007","LVZ bringt Vorteile!","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-008","Comicfigur beim Balancieren von Lebensmitteln, Titel: ""Alles vom Läbes!"", unten: Lebensmittelverein Zürich","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-010","Comicfigur beim Stappeln von Lebensmitteln: ""Alles vom Läbes! Lebensmittelverein Zürich""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-011","Comicfigu mit riesiger Umhängetasche: ""alles vom Läbes - LVZ""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Gb-012","Eichhörnchen mit Schal und Geschenk: ""Geschenke für alle - St. Annahof""","Neuzeit;20. Jh.;1901-1950;1941-1950 /Neuzeit;20. Jh.;1951-2000;1951-1960 /Neuzeit;20. Jh.;1951-2000;1961-1970","Europa;Schweiz;Zürich, Kanton"
